leaf_width,leaf_length,trunk_girth,trunk_height,tree_type
3.03E+00,1.05E+01,6.70E+00,2.78E+00,2
4.99E+00,9.67E+00,5.29E+00,4.81E+00,2
3.97E+00,6.25E+00,7.10E+00,8.14E+00,0
6.12E+00,9.76E+00,5.79E+00,4.45E+00,2
5.51E+00,4.12E+00,1.01E+01,9.38E+00,0
8.12E+00,5.01E+00,2.81E+00,9.33E+00,1
4.37E+00,6.64E+00,7.70E+00,7.72E+00,0
4.03E+00,7.25E+00,3.44E+00,5.95E+00,2
1.01E+01,5.55E+00,5.15E+00,7.42E+00,1
9.20E+00,7.27E+00,4.76E+00,9.44E+00,1
8.63E+00,5.95E+00,4.65E+00,9.68E+00,1
6.72E+00,5.02E+00,7.74E+00,7.16E+00,0
6.23E+00,4.27E+00,8.95E+00,7.94E+00,0
4.66E+00,5.47E+00,9.49E+00,9.13E+00,0
1.06E+01,7.05E+00,5.37E+00,7.60E+00,1
6.90E+00,3.11E+00,8.50E+00,7.86E+00,0
9.01E+00,3.80E+00,4.98E+00,8.48E+00,1
8.53E+00,4.52E+00,5.02E+00,9.58E+00,1
9.40E+00,5.34E+00,5.26E+00,8.64E+00,1
1.03E+01,3.09E+00,6.88E+00,7.04E+00,1
1.01E+01,5.69E+00,4.99E+00,7.61E+00,1
1.01E+01,5.40E+00,5.75E+00,7.94E+00,1
7.07E+00,3.58E+00,8.95E+00,7.79E+00,0
7.67E+00,5.31E+00,3.30E+00,1.03E+01,1
3.92E+00,7.08E+00,3.35E+00,5.54E+00,2
5.17E+00,9.49E+00,5.81E+00,4.65E+00,2
4.53E+00,5.58E+00,9.38E+00,9.35E+00,0
3.79E+00,5.93E+00,8.36E+00,8.99E+00,0
5.27E+00,8.53E+00,4.45E+00,5.00E+00,2
4.26E+00,5.84E+00,9.39E+00,9.95E+00,0
9.05E+00,7.22E+00,3.80E+00,9.33E+00,1
5.86E+00,9.61E+00,6.11E+00,5.93E+00,2
4.22E+00,5.76E+00,9.20E+00,1.00E+01,0
9.61E+00,6.40E+00,4.47E+00,8.33E+00,1
6.20E+00,8.41E+00,4.77E+00,5.19E+00,2
5.94E+00,4.02E+00,8.40E+00,8.65E+00,0
7.70E+00,4.67E+00,3.81E+00,1.02E+01,1
5.00E+00,5.62E+00,7.93E+00,8.02E+00,0
5.46E+00,4.58E+00,1.08E+01,1.02E+01,0
5.55E+00,8.15E+00,3.50E+00,5.31E+00,0
5.92E+00,9.84E+00,6.16E+00,5.53E+00,2
4.87E+00,8.81E+00,4.87E+00,4.72E+00,2
6.61E+00,7.36E+00,2.62E+00,6.53E+00,2
2.83E+00,5.99E+00,8.54E+00,9.73E+00,0
4.18E+00,5.00E+00,8.57E+00,9.30E+00,0
2.54E+00,9.60E+00,6.12E+00,3.65E+00,2
5.28E+00,7.55E+00,2.97E+00,6.02E+00,2
5.08E+00,8.39E+00,3.93E+00,5.24E+00,2
5.92E+00,4.94E+00,7.95E+00,8.02E+00,0
5.84E+00,8.72E+00,4.61E+00,5.86E+00,2
5.32E+00,8.29E+00,4.14E+00,5.12E+00,2
5.88E+00,1.04E+01,6.83E+00,4.06E+00,2
6.59E+00,8.95E+00,4.38E+00,4.97E+00,2
1.02E+01,5.59E+00,5.44E+00,7.76E+00,1
5.58E+00,8.32E+00,4.88E+00,5.17E+00,2
5.49E+00,8.55E+00,4.29E+00,6.14E+00,2
5.08E+00,5.57E+00,7.69E+00,8.07E+00,0
5.19E+00,4.69E+00,9.93E+00,9.36E+00,0
8.47E+00,3.43E+00,4.63E+00,9.08E+00,1
7.81E+00,3.76E+00,3.88E+00,9.86E+00,1
8.01E+00,4.20E+00,3.12E+00,9.29E+00,1
9.27E+00,4.56E+00,5.31E+00,8.65E+00,1
5.45E+00,9.25E+00,5.36E+00,5.48E+00,2
4.64E+00,9.64E+00,5.61E+00,4.85E+00,2
9.69E+00,3.71E+00,6.06E+00,8.01E+00,1
5.85E+00,4.81E+00,8.57E+00,7.75E+00,0
5.83E+00,9.24E+00,4.72E+00,4.79E+00,2
5.46E+00,5.08E+00,8.39E+00,8.13E+00,0
3.57E+00,5.34E+00,1.04E+01,1.03E+01,0
6.85E+00,1.11E+00,4.48E+00,1.06E+01,1
1.01E+01,3.93E+00,7.03E+00,7.87E+00,1
8.21E+00,4.32E+00,5.20E+00,1.01E+01,1
9.67E+00,5.02E+00,7.91E+00,9.23E+00,1
1.08E+01,5.49E+00,7.08E+00,7.28E+00,1
1.01E+01,5.75E+00,6.46E+00,8.39E+00,1
8.80E+00,3.99E+00,4.87E+00,8.84E+00,0
9.31E+00,5.24E+00,6.48E+00,9.25E+00,1
5.56E+00,9.08E+00,5.01E+00,4.57E+00,2
5.65E+00,4.48E+00,9.20E+00,8.85E+00,0
8.75E+00,4.16E+00,4.94E+00,9.11E+00,1
1.04E+01,4.94E+00,6.81E+00,7.56E+00,1
8.67E+00,2.93E+00,6.75E+00,9.51E+00,1
8.44E+00,4.18E+00,4.45E+00,9.18E+00,1
9.27E+00,5.37E+00,6.06E+00,9.23E+00,1
1.04E+01,5.92E+00,6.91E+00,8.19E+00,1
4.66E+00,4.64E+00,1.03E+01,9.59E+00,0
7.63E+00,9.19E+00,4.31E+00,5.58E+00,2
1.07E+01,5.35E+00,7.17E+00,7.69E+00,1
7.84E+00,4.19E+00,4.32E+00,1.00E+01,1
7.35E+00,8.98E+00,4.12E+00,5.59E+00,2
9.02E+00,3.42E+00,6.66E+00,9.06E+00,1
9.15E+00,2.81E+00,6.53E+00,8.70E+00,1
9.13E+00,3.60E+00,5.20E+00,8.35E+00,1
4.04E+00,6.60E+00,1.88E+00,6.53E+00,2
4.67E+00,1.02E+01,5.92E+00,4.06E+00,2
5.47E+00,4.77E+00,9.05E+00,8.35E+00,0
6.95E+00,3.95E+00,1.91E+00,1.03E+01,1
4.93E+00,4.60E+00,9.49E+00,9.21E+00,0
9.51E+00,4.21E+00,5.65E+00,8.20E+00,1
6.60E+00,4.28E+00,8.30E+00,7.75E+00,0
4.93E+00,5.33E+00,9.11E+00,8.55E+00,0
5.96E+00,9.36E+00,5.49E+00,5.03E+00,2
7.09E+00,4.09E+00,8.47E+00,6.88E+00,0
9.85E+00,6.31E+00,5.49E+00,8.42E+00,1
4.87E+00,1.13E+01,7.62E+00,3.42E+00,2
8.54E+00,5.68E+00,4.73E+00,9.75E+00,1
7.36E+00,7.37E+00,1.78E+00,1.10E+01,1
4.17E+00,6.11E+00,8.44E+00,9.02E+00,0
7.49E+00,8.27E+00,3.76E+00,6.25E+00,2
4.23E+00,9.41E+00,5.83E+00,5.04E+00,2
6.46E+00,9.95E+00,5.59E+00,5.11E+00,2
8.68E+00,3.93E+00,6.34E+00,9.75E+00,1
5.00E+00,7.49E+00,3.10E+00,5.63E+00,2
7.85E+00,4.84E+00,4.77E+00,1.07E+01,1
5.38E+00,9.24E+00,4.77E+00,4.48E+00,2
5.26E+00,5.68E+00,8.93E+00,8.84E+00,1
9.50E+00,7.24E+00,4.32E+00,8.80E+00,1
5.67E+00,8.60E+00,4.80E+00,5.45E+00,2
3.69E+00,9.97E+00,6.64E+00,4.05E+00,2
6.18E+00,3.63E+00,8.39E+00,8.83E+00,0
9.74E+00,5.23E+00,7.00E+00,9.07E+00,1
5.00E+00,5.10E+00,8.64E+00,9.12E+00,0
9.68E+00,6.63E+00,5.12E+00,8.85E+00,1
4.60E+00,4.18E+00,9.99E+00,9.71E+00,0
5.21E+00,5.61E+00,8.09E+00,8.01E+00,0
2.84E+00,5.86E+00,9.53E+00,1.07E+01,0
9.65E+00,6.07E+00,6.31E+00,9.11E+00,1
2.65E+00,6.69E+00,9.18E+00,1.07E+01,0
4.99E+00,1.04E+01,6.61E+00,3.95E+00,2
3.35E+00,1.02E+01,6.53E+00,3.33E+00,2
8.94E+00,4.19E+00,4.17E+00,8.34E+00,1
4.10E+00,4.38E+00,1.05E+01,1.10E+01,0
3.69E+00,7.75E+00,3.82E+00,5.14E+00,2
9.15E+00,4.52E+00,4.77E+00,8.58E+00,1
4.67E+00,4.25E+00,1.02E+01,9.46E+00,0
3.94E+00,9.39E+00,5.20E+00,4.43E+00,2
7.51E+00,7.45E+00,2.47E+00,6.13E+00,2
2.87E+00,7.84E+00,3.56E+00,4.77E+00,2
6.96E+00,1.05E+01,6.22E+00,4.69E+00,2
8.65E+00,5.83E+00,4.63E+00,9.64E+00,1
8.39E+00,2.96E+00,4.14E+00,8.56E+00,1
4.99E+00,4.47E+00,9.17E+00,9.66E+00,0
9.58E+00,4.53E+00,5.68E+00,8.29E+00,1
6.45E+00,3.04E+00,9.37E+00,8.89E+00,0
